Year,SPX real return,real rate,1+r,capita consumption
1989,0.169094894,0.038855495,1.038855495,21142.76336
1990,-0.06011797,0.026298811,1.026298811,21332.49708
1991,0.282413799,0.042102245,1.042102245,21086.69147
1992,0.041853836,0.006309327,1.006309327,21489.45218
1993,0.088191117,0.008929138,1.008929138,21921.19707
1994,-0.016111782,0.015034597,1.015034597,22467.69551
1995,0.314407862,0.036232837,1.036232837,22802.97688
1996,0.233756717,0.025580893,1.025580893,23325.44844
1997,0.25775462,0.04143552,1.04143552,23898.91485
1998,0.291502969,0.039433232,1.039433232,24861.12821
1999,0.124170658,0.025025652,1.025025652,25922.57131
2000,-0.08581051,0.027742319,1.027742319,26939.62388
2001,-0.144302095,0.034484077,1.034484077,27388.93913
2002,-0.22047371,-0.00728481,0.99271519,27848.50115
2003,0.259352607,-0.00732149,0.99267851,28368.68699
2004,0.02975325,-0.014370844,0.985629156,29087.29564
2005,0.058980448,-0.005532678,0.994467322,29790.29577
2006,0.110144204,0.031783851,1.031783851,30364.43344
2007,-0.053392551,0.00968375,1.00968375,30867.60987
2008,-0.351499422,0.03438123,1.03438123,30509.08124
2009,0.290082387,-0.015694982,0.984305018,29933.85468
